ID;Kitab;Sanad;Matan
398;Musnad Syafi'i 398;Sejumlah orang yang terpercaya mengabarkan kepada kami dari Hammad bin Salamah, dari Tsumamah bin Abdullah bin Anas, dari Anas bin Malik , dari Nabi  mengenai hadis yang semakna dengan hadis ini tanpa ada perbedaan. Hanya menurut hafalanku, aku masih ingat di dalamnya disebutkan, “Dan hendaknya ia memberikan pula 2 ekor kambing atau 20 dirham.” Aku tidak ingat kalimat, “Jika 2 ekor kambing itu mudah didapat olehnya.” Ia berkata,;"Menurut dugaanku, (kalimat ini berasal) dari hadis Hammad melalui Anas"", ia berkata, “Abu Bakar  menyampaikan kepadaku surat keputusan zakat dari Rasulullah . Lalu Anas menuturkan hadis ini seperti yang telah kami ketengahkan sebelumnya.”"
399;Musnad Syafi'i 399;Muslim mengabarkan kepada kami dari Ibnu Juraij, ia mengatakan: Ibnu Thawus pernah berkata kepadaku, Bapakku mempunyai kitab Diyat saat turun wahyu, dan Rasulullah  tidak mewajibkan diyat atau sedekah, namun telah diturunkan wahyu berkenaan dengannya. 404;
400;Musnad Syafi'i 400;"Anas bin Iyadh mengabarkan kepada kami dari Musa bin Uqbah, dari Nafi', dari Abdullah bin Umar : Ini adalah sarat keputusan zakat yang di dalamnya disebutkan bahwa pada tiap-tiap 24 ekor unta atau kurang zakatnya berupa kambing. Pada tiap-tiap 5 ekor unta seekor kambing, dan selebihnya sampai 35 ekor unta zakatnya adalah unta bintu makhadh. Jika unta bintu makhadh tidak ada, maka unta ibnu labun jantan. Lebih dari itu sampai 45 ekor, zakatnya adalah unta bintu labun. Lebih dari itu sampai 60 ekor, zakatnya adalah unta hiqqahyang sudah memasuki masa dibuahi oleh pej antan. Lebih dari itu sampai 75 ekor, zakatnya adulah seekor unta jadza'ah. Lebih dari itu sampai 90 ekor, zakatnya adalah 2 ekor unta blntu labun. Lebih dari itu sampai 120 ekor, zakutnya adalah 2 ekor unta hlqqah yang keduanya sudah memasuki masa dibuahi oleh pejantan. Lebih dari itu, maka pada tiap-tiap 40 ekor zakatnya adalah unta hlntu labun; pada tiap-tiap 50 ekor, zakatnya adalah seekor unta hlqqah. Pada ternak kambing apabila jumlahnya 40 sampai 120 ekor, zakatnya adalah 2 ekor kambing. Dan lebih dari itu sampai 300 ekor, zakatnya adalah 3 ekor kambing, Lebih dari itu pada tiap-tiap 100 ekor kambing, Zakatnya adalah seekor kambing. Dan tidak boleh dikeluarkan sebagai zakat ternak yang sudah tua, tidak pula ternak yang ada cacatnya, serta tidak pula ternak pejantan kecuali jika dikehendaki oleh orang yang membayar zakat. Tidak boleh dikumpulkan di antara 2 ternak yang terpisah, dan tidak boleh pula dipisahkan di antara ternak yang terhimpun karena takut terkena zakat. Sedangkan ternak yang dimiliki oleh 2 orang yang berserikat, maka masing-masing pihak dapat saling merujuk kepada miliknya secara adil. Dan zakat pada logam perak adalah seperempat dari sepersepuluh (dua setengah persen)nya bila logam perak yang dimiliki oleh seseorang dari mereka berjumlah 5 uqiyah. Demikianlah surat keputusan Khalifah Umar bin Khaththab  yang dipegang dan diamalkan olehnya. 405 Asy-Syafi'i berkata, “Semua ini kami amalkan.”";
401;Musnad Syafi'i 401;Orang yang dapat dipercaya dari salah seorang ulama pernah mengabarkan kepada kami, dari Sufyan bin Husain dari Az- Zuhri dari Salim bin Abdullah bin Umar dari bapaknya dari Nabi , aku tidak mengetahui apakah Ibnu Umar memasukkan antaranya dengan Umar dalam hadis Sufyan bin Husain atau tidak?: Dalam hal zakat unta, seperti makna ini, ia tidak menyelisihinya dan aku juga tidak mengetahuinya, namun, insya Allah aku tidak ragu kecuali ia telah menceritakan semua hadis mengenai zakat kambing, serikat dan riqqah dan aku tidak hafal kecuali zakat unta saja yang ada dalam hadisnya. 406;
402;Musnad Syafi'i 402;Sufyan bin Uyainah mengabarkan kepada kami dari Amr bin Dinar, dari Thawus: Bahwa pernah didatangkan kepada Mu'adz zakat waqsh (Zakat tambahan antara seperlima hingga seperdua puluh) berupa ternak sapi, maka ia berkata, “Nabi belum pernah memerintahkan kepadaku mengenai masalah ini sedikitpun.” 407As-Syafi'i  berkata, ”Al Waqsh adalah harta yang tidak sampai batas diwajibkannya zakat.”;
403;Musnad Syafi'i 403;Malik mengabarkan kepada kami dari Humaid bin Qais, dan Thawus Al Yamani: Bahwa Mu'adz bin Jabal memungut zakat seekor tabi' (sapi berumur 2 tahun) dari 30 ekor sapi, dan dari 40 ekor sapi berupa seekor sapi musinnah (berumur 2 tahun lebih). Dan, ia mendatangi ternak sapi yang jumlahnya kurang dari itu, ternyata ia tidak mau memungut seekor sapi pun darinya. Ia berkata, “Aku belum pernah mendengar dari Rasulullah  mengenainya barang sedikitpun, nanti aku akan menemui beliau untuk menanyakannya” Dan, ternyata Rasulullah  wafat sebelum Mu'adz bin Jabal tiba (di Madinah).;
404;Musnad Syafi'i 404;"Sufyan bin Uyainah mengabarkan kepada kami, Bisyr bin Ashim mengabarkan kepada kami dari ayahnya: Khalifah Umar mengangkat Abu Sufyan bin Abdullah sebagai amil untuk Tha'if dan daerah-daerah sekitarnya. Lalu Abu Sufyan berangkat sebagai pengumpul zakat, dan ia juga menghitung anak kambing, tetapi ia tidak mau memungutnya dari mereka. Maka mereka berkata kepadanya, “Sesungguhnya engkau memasukkan anak kambing ke dalam hitungan terhadap kami, maka ambillah anak kambing itu dari kami (sebagai zakatnya).” Abu Sufyan tidak mau mengambilnya sebelum bertemu dengan Umar, lalu ia berkata (melapor) kepada Khalifah Umar, “Perlu diketahui bahwa mereka menduga engkau berbuat aniaya terhadap mereka, mengapa engkau memasukkan anak kambing ke dalam hitungan, sedangkan engkau tidak mau menerimanya dari mereka.” Umar berkata kepadanya, “Masukkanlah anak kambing ke dalam hitungan atas diri mereka hingga anak kambing yang masih digendong oleh penggembalanya, dan katakanlah kepada mereka, 'Aku tidak akan mengambil dari kalian kambing yang hendak melahirkan (bunting), kambing perahan, kambing yang sedang menyusui, kambing gemuk, tidak pula kambing pejantan'. Tetapi pungutlah kambing 'anaq, jadza'ah, dan tsanyah; yang demikian itu pertengahan di antara ternak yang bermutu rendah dan ternak pilihan.” 409";
405;Musnad Syafi'i 405;Ibrahim bin Muhammad mengabarkan kepada kami dari Ismail bin Umayah, dari Amr bin Abu Sufyan, dari seorang lelaki yang diberi nama oleh Ibnu Sa'r, Insya Allah, dari Sa'r —Bani Adi—, ia mengatakan: Dua orang lelaki datang kepadaku, lalu keduanya berkata, “Sesungguhnya Rasulullah telah mengutus kami sebagai pengumpul zakat orang-orang.” Sa'r melanjutkan kisahnya: Maka aku menyerahkan kepada keduanya seekor kambing yang bunting tua lagi yang paling baik, tetapi keduanya mengembalikan kambing itu kepadaku dan berkata, “Sesungguhnya Rasulullah melarang kami memungut kambing yang sedang bunting.” Sa'r melanjutkan kisahnya lagi: Maka aku berikan kepada keduanya seekor kambing yang pertengahan di antara ternak yang ada, maka barulah keduanya mau menerimanya. 410;
406;Musnad Syafi'i 406;Malik mengabarkan kepada kami dari Nafi, dari Ibnu Umar, ia berkata, “Harta benda tidak wajib dizakati sebelum mencapai masa satu tahun.” 411;
407;Musnad Syafi'i 407;Malik mengabarkan kepada kami dari Amr bin Husain, dari Aisyah binti Qudamah, dari ayahnya, ia mengatakan: Bila aku datang kepada Utsman bin Affan untuk mengambil 'atha (pensiunan)ku darinya, ia selalu bertanya kepadaku, “Apakah engkau mempunyai harta yang diharuskan zakat padanya?” Jika aku mengatakan “Ya”, maka ia mengambil sebagian dari 'atha-ku sebagai zakat hartaku itu. Dan jika aku katakan “Tidak”, maka ia menyerahkan seluruh 'atha-ku kepadaku. 412;
408;Musnad Syafi'i 408;"Malik bin Anas mengabarkan kepada kami, dari Zaid bin Aslam dari Atha' bin Yasar dari Abu Rafi' ; Bahwa Rasulullah  mengadakan akad salaf anak lembu dari seorang lelaki, namun beliau menggantikannya dengan unta yang termasuk unta zakat, lalu beliau menyuruhku untuk menunaikannya. 413";
409;Musnad Syafi'i 409;Malik bin Anas dan Sufyan bin Uyainah mengabarkan kepada kami, keduanya dari Abdullah bin Dinar, dari Sulaiman bin Yasar, dari Irak bin Malik, dari Abu Hurairah bahwa Rasulullah  telah bersabda, “Tidak ditetapkan kewajiban berzakat atas seorang muslim pada budaknya, tidak pula pada kudanya.” Ibnu Uyainah mengabarkan kepadaku dari Ayyub bin Musa, dari Makhul, dari Sulaiman bin Yasar, dari Irak bin Malik, dari Abu Hurairah, dari Nabi  dengan redaksi hadis yang semisalnya. 414;
410;Musnad Syafi'i 410;Sufyan mengabarkan kepada kami dari Yazid bin Yazid bin Jabir, dari Irak bin Malik, dari Abu Hurairah dengan redaksi hadis yang semisal, hanya mauquf sampai kepada Abu Hurairah. 415;
411;Musnad Syafi'i 411;Malik mengabarkan kepada kami dari Abdullah bin Dinar, ia berkata, “Aku pernah bertanya kepada Said bin Musayyab tentang zakat kuda birdzaun, maka ia menjawab, 'Apakah pada ternak kuda ada kewajiban zakat ?'” 416;
412;Musnad Syafi'i 412;Anas bin Iyadh mengabarkan kepada kami dari Al Harits bin Abdurrahman bin Abu Dzibab, dari ayahnya, dari Sa'd bin Abu Dzibab, ia mengatakan: Aku datang kepada Rasulullah , lalu aku masuk Islam. Kemudian aku berkata, “Wahai Rasulullah! Tetapkanlah bagi kaumku apa yang harus mereka serahkan dari sebagian harta mereka.'' Maka Rasulullah  melakukannya dan mengangkat diriku sebagai amil mereka. Kemudian Abu Bakar  juga mengangkatku sebagai amil, sedangkan Sa'd adalah salah seorang penduduk As-Sarah. Ia berkata, “Lalu aku membicarakan tentang madu kepada kaumku, dan aku katakan kepada mereka, 'Zakatilah ia, karena sesungguhnya tidak ada kebaikan pada buah yang tidak dizakati'. Mereka bertanya, 'Berapakah jumlahnya?' Aku menjawab, 'Sepersepuluh'. Lalu aku memungut sepersepuluh dari mereka. Aku datang kepada Umar bin Khaththab, lalu aku ceritakan kepadanya apa yang telah dilakukan di masa sebelumnya, maka Umar memungut dan menjualnya. Selanjutnya harga dari hasil penjualan itu ia jadikan bersama sedekah (zakat) kaum muslim.” 417;
413;Musnad Syafi'i 413;Abdul Majid mengabarkan kepada kami dari Ibnu Juraij, dari Yusuf bin Mahik bahwa Rasulullah  pernah bersabda, “Kembangkanlah harta anak yatim, atau harta anak-anak yatim, jangan sampai dihabiskan atau dimakan oleh zakat.” 418;
414;Musnad Syafi'i 414;Malik mengabarkan kepada kami dari Abdurrahman bin Al Qasim, dari ayahnya, ia berkata, “Aisyah —istri Nabi  — mengurus diriku bersama dua orang saudara yatimku di dalam asuhannya, dan ia mengeluarkan zakat dari harta kami.” 419;
415;Musnad Syafi'i 415;"Malik mengabarkan kepada kami dari Nafi, dari Ibnu Umar : Rasulullah  telah memfardhukan zakat fitrah kepada semua orang sebanyak satu sha' kurma atau satu sha' jewawut bagi tiap orang merdeka dan hamba sahaya; baik laki-laki maupun perempuan dari kalangan kaum muslimin. 420";
416;Musnad Syafi'i 416;Ibrahim bin Muhammad mengabarkan kepada kami dari Ja'far bin Muhammad, dari ayahnya: Bahwa Rasulullah  memfardhukan zakat fitrah atas orang merdeka, hamba sahaya, laki-laki dan perempuan dari kalangan orang-orang yang kalian jamin penghidupannya. 421;
417;Musnad Syafi'i 417;Malik mengabarkan kepada kami dari Zaid bin Aslam, dari Iyadh bin Abdullah bin Sa'd bin Abu Sarh bahwa ia pernah mendengar Abu Sa'id Al Khudri berkata, “Kami mengeluarkan zakat fitrah sebanyak satu sha' makanan atau satu sha' jewawut, atau satu sha' kurma, atau satu sha' zabib.” 422;
418;Musnad Syafi'i 418;Malik mengabarkan kepada kami dari Nafi', dari Ibnu Umar : bahwa Rasulullah memfardhukan zakat fitrah dalam bulan Ramadhan atas semua orang sebesar satu sha' kurma atau satu sha' jewawut. 423;
419;Musnad Syafi'i 419;Malik mengabarkan kepada kami dari Zaid bin Aslam, dari Iyadh bin Abdullah bin Sa'd bin Abu Sarh bahwa ia pemah mendengar Abu Said Al Khudri berkata, “Dahulu kami mengeluarkan zakat fitrah sebanyak satu sha' makanan atau satu sha' jewawut, atau satu sha' kurma, atau satu sha' zabib, atau satu sha' aqith.” 424;
420;Musnad Syafi'i 420;Anas bin Iyadh mengabarkan kepada kami dari Daud bin Qais, ia pemah mendengar Iyadh bin Abdullah bin Sa'd mengatakan: Abu Sa'id Al Khudri pemah berkata, “Kami di masa Nabi mengeluarkan (zakat fitrah) sebanyak satu sha' makanan atau satu sha' zabib, atau satu sha' aqith, atau satu sha' kurma, atau satu sha' jewawut. Kami masih tetap mengeluarkannya seperti itu hingga Muawiyah datang berhaji atau berumrah, lalu ia berkhutbah kepada orang-orang. Di antara perkataan yang diucapkannya kepada orang-orang ialah. 'Sesungguhnya aku melihat 2 mud gandum negeri Syam sebanding dengan satu sha' kurma'. Maka, orang-orang memakai pendapat tersebut.;Al Asham mengatakan bahwa sesungguhnya ia mengetengahkan hadis ini semuanya —sekalipun sanya berulang-ulang— tidak lain karena hadis-hadisnya berbeda lafazh, di dalamnya terdapat tambahan dan kekurangan.425
421;Musnad Syafi'i 421;Anas bin Iyadh mengabarkan kepada kami dari Usamah bin Zaid Al Laitsi: Bahwa ia pernah bertanya kepada Salim bin Abdullah tentang masalah zakat, maka Salim menjawab, “Berikanlah sendiri.” Maka aku berkata, “Bukankah Ibnu Umar pernah berkata, 'Berikanlah zakat itu kepada sultan?'” Salim menjawab, “Memang benar, tetapi menurutku sebaiknya kamu tidak menyerahkannya kepada sultan.” 426;
422;Musnad Syafi'i 422;Malik mengabarkan kepada kami dari Nafi' bahwa Abdullah bin Umar selalu mengirimkan zakat fitrahnya kepada orang yang mengumpulkannya 2 atau 3 hari sebelum Hari Raya Fitri. 427;
423;Musnad Syafi'i 423;Malik mengabarkan kepada kami dari Nafi': Bahwa Abdullah bin Umar tidak pernah mengeluarkan zakat fitrah berupa buah kurma kecuali hanya sekali, karena sesungguhnya kebiasaan yang ia keluarkan adalah jewawut. 428;
424;Musnad Syafi'i 424;Malik mengabarkan kepada kami dari Muhammad bin Abdullah bin Abdurrahman bin Abu Sha'sha'ah Al Mazini, dari ayahnya, dari Abu Sa'id Al Khudri  bahwa Rasulullah  pernah bersabda, “Kurma yang jumlahnya kurang dari 5 wasaq tidak terkena zakat.”429;
425;Musnad Syafi'i 425;Malik mengabarkan kepada kami dari Amr bin Yahya, dari ayahnya, bahwa ia mengatakan: Ia pemah mendengar Abu Sa'id Al Khudri mengatakan bahwa Rasulullah  telah bersabda, “Tidak ada zakat pada sesuatu yang jumlahnya kurang dari 5 wasaq.;430
426;Musnad Syafi'i 426;Abdullah bin Nafi' mengabarkan kepada kami dari Muhammad bin Shalih At-Tammar, dari Ibnu Syihab, dari Sa'id bin Al Musayyab, dari Attab bin Usaid: Rasulullah  telah bersabda dalam masalah zakat buah anggur, yaitu bahwa buah anggur ditaksir seperti halnya buah kurma. Kemudian zakatnya dibayar berupa zabib, sebagaimana zakat kurma muda dibayar dengan kurma masak setelah dikeringkan.;
427;Musnad Syafi'i 427;Dengan sanad yang sama disebutkan pula seperti berikut: Rasulullah  mengirimkan orang yang melakukan taksiran terhadap buah anggur dan buah-buahan mereka. 431;
428;Musnad Syafi'i 428;Sufyan bin Uyainah mengabarkan kepada kami, ia pernah mendengar Amr bin Yahya Al Mazini menceritakan hadis berikut dari ayahnya, dari Abu Sa'id Al Khudri  bahwa Nabi  telah bersabda, “Tidak ada zakat pada sesuatu yang jumlahnya kurang dari 5 wasaq.”432;
429;Musnad Syafi'i 429;Malik mengabarkan kepada kami dari Ibnu Syihab, dari Sa'id bin Al Musayyab: Bahwa Rasulullah  pernah bersabda kepada orang-orang Yahudi Khaibar ketika beliau menaklukkan Khaibar,;"Aku tetapkan atas kalian seperti apa yang telah ditetapkan oleh Allah kepada kalian, yaitu bahwa buah kurma adalah milik bersama antara kami dan kalian.” Sa'id bin Musayyab melanjutkan kisahnya: Rasulullah mengutus Abdullah bin Rawahah, lalu ia melakukan penaksiran terhadap mereka. Setelah itu ia berkata, “Jika kalian suka, maka kalian boleh mengambilnya menurut ketentuan tersebut; dan jika kalian suka, maka kamilah yang akan mengadakan taksirannya.” Dan, ternyata mereka menerima apa yang ditaksir. 433"
430;Musnad Syafi'i 430;Malik mengabarkan kepada kami dari Ibnu Syihab, dari Sulaiman bin Yasar: Bahwa Rasulullah pernah mengutus Abdullah bin Rawahah, maka Abdullah mengadakan penaksiran antara dia dan orang-orang Yahudi. 434;
431;Musnad Syafi'i 431;"Anas bin Iyadh mengabarkan kepada kami dari Musa bin Uqbah, dari Nafi' bahwa Abdullah bin Umar pernah berkata, “Zakat buah-buahan dan pertanian bilamana berupa kurma atau anggur, atau tanam-tanaman, atau jewawut, atau gandum; jika tumbuh dengan sendirinya (tanpa disirami) atau diairi oleh air sungai, atau diairi oleh mata air, atau mengandalkan air hujan, maka zakatnya adalah sepersepuluhnya, yakni dari tiap 10 diambil satu bagian. Jika diairi dengan sarana pengairan, maka zakatnya adalah setengah dari sepersepuluhnya, yakni dari tiap 20 diambil satu bagiannya.” 435";
432;Musnad Syafi'i 432;Malik mengabarkan kepada kami, dari Amr bin Yahya Al Mazini dari ayahnya, bahwa ia pernah mengatakan: Aku mendengar Abu Sa'id Al Khudri mengatakan: Rasulullah  bersabda, “Tidak ada zakat pada sesuatu yang jumlahnya kurang dari 5 wasaq.”436;
433;Musnad Syafi'i 433;Sufyan mengabarkan kepada kami, Amr bin Yahya Al Mazini menceritakan kepada kami dengan redaksi hadis yang sama. 437;
434;Musnad Syafi'i 434;Malik mengabarkan kepada kami dari Muhammad bin Abdullah bin Abdurrahman bin Abu Sha'sha'ah, dari ayahnya, dari Abu Sa'id Al Khudri bahwa Rasulullah SAW pernah bersabda, “Tidak ada zakat pada logam perak yang jumlahnya di bawah 5 uqiyah ”438;
435;Musnad Syafi'i 435;Malik mengabarkan kepada kami dari Abdurrahman bin Al Qasim, dari ayahnya, dari Aisyah : Bahwa ia mengurus anak-anak perempuan saudara laki-lakinya, karena mereka adalah anak-anak yatim yang dipelihara di dalam asuhannya. Mereka memiliki perhiasan, tetapi ternyata ia tidak mengeluarkan zakatnya. 439;
436;Musnad Syafi'i 436;Abdullah bin Muammal mengabarkan kepada kami dari Ibnu Abu Mulaikah: Bahwa Aisyah pernah memakaikan perhiasan emas kepada anak-anak perempuan saudara lelakinya, dan ia tidak mengeluarkan zakatnya. 440;
437;Musnad Syafi'i 437;Malik mengabarkan kepada kami dari Nafi', dari Ibnu Umar: Bahwa ia pernah memakaikan perhiasan emas kepada anak- anak perempuannya dan pelayan-pelayan wanitanya, kemudian ia tidak mengeluarkan zakatnya. 441;
438;Musnad Syafi'i 438;Sufyan mengabarkan kepada kami dari Amr bin Dinar, “Aku pernah mendengar seorang lelaki bertanya kepada Jabir bin Abdullah tentang perhiasan, 'Apakah wajib dizakati?' Maka ia menjawab, 'Tidak'. Lelaki itu bertanya lagi, 'Bagaimana jika jumlahnya mencapai 1000 dinar?' Jabir menjawab, 'Sekalipun banyak jumlahnya'.” 442;
439;Musnad Syafi'i 439;Sufyan mengabarkan kepada kami dari Amr bin Dinar, dari Udzainah diri Ibnu Abbas , bahwa ia pernah berkata, “Tidak ada kewajiban zakat pada udang, sesungguhnya udang itu hanyalah sesuatu yang dilemparkan oleh laut ke tepi pantai.” 443;
440;Musnad Syafi'i 440;Sufyan mengabarkan kepada kami dan Ibnu Thawus, dan bapaknya, dari Ibnu Abbas: Bahwa ia panah ditanya mengenai 'anbar. maka Ibnu Abbas menjawab, “Jika di dalamnya terdapat sesuatu, maka zakatnya adalah seperilmanya.” 444;
441;Musnad Syafi'i 441;Sufyan bin Uyainah mengabarkan kepada kami dari Az- Zuhri, dan Sa'id bin Al Musayyab dan Abu Salamah bin Abdurrahman, dari Abu Hurairah  bahwa Nabi  pernah bersabda,;"Zakat harta rikaz adalah seperlimanya.""445"
442;Musnad Syafi'i 442;Sufyan mengabarkan kepada kami dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah bahwa Nabi SAW pernah bersabda,;"Zakat harta rikaz adalah seperlimanya."" 446"
443;Musnad Syafi'i 443;Malik mengabarkan kepada kami dari Ibnu Syihab, dari Ibnu Al Musayyab dan Abu Salamah bahwa Nabi  pemah bersabda, “Zakat harta rikaz (harta karun) adalah seperlimanya.', 447;
444;Musnad Syafi'i 444;Sufyan mengabarkan kepada kami dari Daud bin Sabur dan Ya'qub bin Atha' dan Amr bin Syu'aib, dari ayahnya, dari kakeknya bahwa Nabi  pernah bersabda mengenai harta karun yang ditemukan oleh seorang lelaki di bekas reruntuhan zaman jahiliyah, “Jika kamu menemukannya di dalam suatu kampung yang berpenghuni atau di jalan umum, maka umumkanlah. Jika kamu menemukannya di bekas reruntuhan zaman jahiliyah atau di dalam suatu kampung yang tidak berpenghuni, maka zakat barang itu dan juga harta rikaz adalah seperlimanya. ” 448;
445;Musnad Syafi'i 445;Sufyan bin Uyainah menceritakan kepada kami, ia mengatakan: Ismail bin Khalid menceritakan kepada kami dari Asy-Sya'bi, ia mengatakan: Seorang lelaki datang menghadap Khalifah Ali Karramallaahu wajhah, lalu ia berkata, “Sesungguhnya aku menemukan sejumlah 1500 dirham di bawah reruntuhan zaman dahulu di Sawad.” Maka Khalifah Ali Karramallaahu wajhah berkata, “Ingatlah, aku benar-benar akan memutuskan harta tersebut dengan keputusan yang jelas. Jika kamu menemukannya di dalam suatu kampung yang kharaj-nya dibayar oleh kampung lain, maka harta tersebut adalah milik penduduk kampung tersebut. Jika kamu menemukannya di dalam suatu kampung yang kharaj-nya tidak dibayar oleh kampung lain, maka bagimu empat perlimanya, dan bagi kami seperlimanya, kemudian seperlimanya lagi untukmu.” 449;
446;Musnad Syafi'i 446;Sufyan mengabarkan kepada kami, Yahya bin Sa'd menceritakan kepada kami dari Abdullah bin Salamah, dari Abu Amr bin Hamas bahwa ayahnya pernah mengatakan: Aku pernah bertemu dengan Khalifah Umar bin Khaththab  ketika aku sedang memikul kulit di pundakku, lalu Umar bertanya, “Tidakkah engkau menunaikan zakatnya, hai Himas?” Aku menjawab, “Wahai Amirul Mukminin! Aku tidak mempunyai apapun selain dari yang ada pada punggungku sekarang ini, dan berlembar-lembar kulit yang masih di dalam qarazh (obat penyamak)nya.” Maka Umar berkata, “Itu semuanya adalah harta, maka letakkanlah.” Himas melanjutkan kisahnya: Lalu aku meletakkan semuanya di hadapan Umar dan ia menghitungnya, ternyata ia menemukannya sebagai harta yang wajib dizakati, maka ia mengambil zakat sebagiannya. 450;
447;Musnad Syafi'i 447;Sufyan bin Uyainah mengabarkan kepada kami, Ibnu Ajian menceritakan kepada kami dari Abu Az-Zinad, dari Abu Amr bin Hamas, dari ayahnya tentang hadis yang semisal. 451;
448;Musnad Syafi'i 448;Orang yang terpercaya mengabarkan kepada kami dari Ubaidillah bin Umar, dari Nafi', dari Ibnu Umar , ia berkata, 'Tidak ada kewajiban zakat pada barang, kecuali jika dimaksudkan untuk diperjualbelikan.” 452;
449;Musnad Syafi'i 449;Malik bin Anas mengabarkan kepada kami dari Yahya bin Sa'id, dari Ruzaiq bin Hukaim bahwa Umar bin Abdul Aziz pernah berkirim surat kepadanya, “Periksalah orang yang berlalu di depanmu dari kalangan kaum muslimin, lalu pungutlah (zakat) dari sebagian harta perdagangan mereka yang terlihat, yaitu dari tiap-tiap 40 dinar sebanyak 1 dinar. Untuk harta yang jumlahnya kurang (dari itu), maka menurut perhitungannya hingga sampai batas 20 dinar. Jika jumlahnya kurang sepertiga dinar (dari 20 dinar), maka biarkanlah barang perdagangan tersebut, dan jangan kamu pungut zakat darinya sedikitpun.” 453;
450;Musnad Syafi'i 450;Malik mengabarkan kepada kami dari Ibnu Syihab, dari Abu Sa'ib bin Yazid bahwa Utsman bin Affan  pernah berkata, “Ini adalah bulan zakat kalian, maka barangsiapa yang mempunyai beban utang, hendaklah ia membayar utangnya lebih dahulu hingga harta itu murni bagi kalian, setelah itu kalian bayarkan zakatnya.” 454;
451;Musnad Syafi'i 451;Malik mengabarkan kepada kami dari Yahya bin Sa'id, dari Muhammad bin Yahya bin Hibban, dari Al Qasim bin Muhammad, dari Aisyah —istri Nabi SAW— ia mengatakan: Pernah dihadirkan di hadapan Umar bin Khaththab ternak kambing hasil dari zakat, maka ia melihat ada seekor kambing yang bertetek besar lagi banyak air susunya. Lalu ia bertanya, “Kambing ini dari mana?” Mereka menjawab, “Kambing zakat.” Umar berkata, “Pemiliknya pasti memberikan kambing ini dengan perasaan tidak rela. Janganlah kalian memfitnah orang-orang, janganlah kalian memungut harta pilihan kaum muslimin, tinggalkanlah kambing yang gemuk-gemuk (jangan diambil sebagai zakat).” 455;
452;Musnad Syafi'i 452;Malik mengabarkan kepada kami dari Yahya bin Sa'id, dari Muhammad bin Yahya bin Hibban, ia mengatakan: Dua orang lelaki Bani Asyja' pernah mengabarkan kepadaku bahwa Muhammad bin Maslamah Al Anshari sering datang kepada mereka sebagai amil zakat, lalu ia berkata kepada pemilik harta.;"Keluarkanlah olehmu zakat hartamu."" Maka tidak sekali-kali diserahkan kepadanya seekor kambing yang memenuhi syarat dari haknya, melainkan ia menerimanya. 456"
453;Musnad Syafi'i 453;Malik mengabarkan kepada kami dari Abdullah bin Dinar, ia mengatakan: Aku pernah mendengar Abdullah bin Umar ketika ditanya tentang harta simpanan, maka ia menjawab.;Harta simpanan adalah harta yang tidak ditunaikan zakatnya.” 457
454;Musnad Syafi'i 454;Malik mengabarkan kepada kami dari Abdullah bin Dinar, dari Abu Shalih As-Samman, dari Abu Hurairah, bahwa ia berkata “Barangsiapa yang mempunyai harta yang tidak ia tunaikan zakatnya maka akan diserupakan baginya di hari Kiamat seperti ular botak yang mempunyai dua noktah dan terus mengejarnya hingga dapat menangkapnya, lalu ia berkata, 'Akulah harta simpananmu'.” 458;
455;Musnad Syafi'i 455;Sufyan mengabarkan kepada kami dari Daud bin Abu Hindun, dari Asy-Sya'bi, dari Jarir bin Abdullah , ia mengatakan: Rasulullah  pernah bersabda, “Apabila datang kepada kalian pengumpul (pemungut) zakat, maka jangan sekali-kali dia berpisah dari kalian kecuali dia dalam keadaan ridha (puas). ” 459;
456;Musnad Syafi'i 456;Sufyan mengabarkan kepada kami dari Az-Zuhri, dari Urwah bin Zubair, dari Abu Hamid As-Sa'idi RA, ia berkata Nabi  mengangkat seorang lelaki dari kalangan Bani Asad yang dikenal dengan nama Ibnul Luthbiyyah sebagai amil zakat. Ketika kembali, ia berkata, “Ini untuk kalian, dan ini merupakan hadiah yang diberikan kepadaku.” Maka Nabi  berdiri di atas mimbar, lalu bersabda,;"Apakah gerangan yang dialami oleh amil, kita mengutusnya untuk menyelesaikan sebagian pekerjaan kita, lalu ia mengatakan, 'Ini bagian kalian dan ini bagianku '. Mengapa ia tidak tinggal saja di rumah ayah dan ibunya, lalu menunggu apakah ada yang memberi hadiah kepadanya atau tidak? Demi Tuhan yang jiwaku berada dalam genggaman kekuasaan-Nya, tidak sekali-kali seseorang mengambil sesuatu dari harta zakat kecuali kelak di hari Kiamat ia datang membawanya dengan memikulnya di atas pundaknya. Jika yang diambilnya itu berupa unta, maka unta itu akan mengeluarkan suara rugha-nya; atau sapi, maka sapi itu akan mengeluarkan suara lenguhannya; atau kambing, maka kambing itu akan mengeluarkan suara embikannya.” Kemudian beliau  mengangkat kedua tangannya hingga kami dapat melihat kulit kedua ketiaknya yang putih, lalu beliau bersabda, ""Ya Allah, bukankah aku telah menyampaikan. Ya Allah, bukankah aku telah menyampaikan.”460"
