ID;Kitab;Matan
1004;Musnad Syafi'i 1004;"Jika ada dua puluh orang yang sabar di antara kalian, niscaya mereka dapat mengalahkan dua ratus orang musuh"" (Qs. Al Anfaal [8]: 65) Maka beliau mengirimkan surat kepada mereka (pasukan kaum muslim) bahwa janganlah dua puluh orang lari karena menghadapi seratus orang. Lalu Allah  menurunkan firman-Nya, ""Sekarang Allah meringankan kepada kalian dan Dia mengetahui bahwa pada kalian ada kelemahan. Maka jika ada di antara kalian seratus orang yang sabar, niscaya mereka dapat mengalahkan dua ratus orang."" (Qs. Al Anfaal [8]: 66) Maka, Allah meringankan kepada mereka bahwa seratus orang tidak boleh lari karena menghadapi dua ratus orang. 252"
1041;Musnad Syafi'i 1041;"Rasulullah  pernah shalat Zhuhur dan Ashar serta Maghrib dan Isya secara jamak bukan dalam keadaan khauf, bukan pula dalam keadaan bepergian."" Malik berkata, ""Aku berpendapat bahwa hal tersebut saat dalam keadaan hujan."" 289"
1045;Musnad Syafi'i 1045;"Hai anakku, sesungguhnya engkau telah mengingatkanku melalui bacaan surah ini bahwa sesungguhnya surah ini merupakan surah terakhir yang aku dengar Rasulullah  membacanya dalam shalat Maghrib."" 293"
1055;Musnad Syafi'i 1055;"Wahai Rasulullah, sesungguhnya ibuku berusia sangat lanjut, ia tidak mampu menunggang unta, jika aku mengikatnya, aku merasa khawatir ia akan meninggal dunia. Apakah aku boleh menghajikannya?"" Rasulullah SAW menjawab, ""Ya.""303"
1114;Musnad Syafi'i 1114;.
1132;Musnad Syafi'i 1132;"Nabi SAW diperintahkan melakukan sujud pada tujuh anggota tubuh. Lalu ia menyebutkan kedua telapak tangan dan kedua lututnya dalam riwayat ini."" 371"
1183;Musnad Syafi'i 1183;"Kaum wanita dan anak-anak mereka adalah termasuk mereka juga."" Amir bin Dinar menambahkan dari Az-Zuhri, ""Mereka termasuk ayah-ayah mereka.""420"
1204;Musnad Syafi'i 1204;Musuh Allah itu telah berdusta, Ubay bin Ka'b telah menceritakan kepadaku bahwa Rasulullah  pernah berkhutbah kepada kami, kemudian beliau menceritakan kisah Musa dan Khidhir, yakni suatu kisah yang menunjukkan bahwa Musa (Nabi Bani Israil itu) adalah temannya Khidhir.” 440
1205;Musnad Syafi'i 1205;"Aku tidak akan meninggalkannya."" Maka Ibnu Abbas berkata, ""Dan tidaklah patut bagi laki-laki yang mukmin dan tidak (pula) bagi perempuan yang mukmin, apabila Allah dan Rasul-Nya telah menetapkan suatu ketetapan, akan ada bagi mereka pilihan (yang lain) tentang urusan mereka. ""(Qs. Al Ahzaab [33]: 36) 441"
1259;Musnad Syafi'i 1259;"Apakah wanita tersebut adalah orang yang dikatakan oleh Nabi , 'Seandainya aku merajam seseorang tanpa saksi, niscaya aku akan merajamnya?'"" Ibnu Abbas menjawab, ""Bukan, wanita itu yang telah mengakui dirinya."" 494"
1294;Musnad Syafi'i 1294;"Dia adalah Maib, budak Bani Fulan. Kalau tidak salah, aku melihatnya mengikuti Barirah di tengah jalan seraya menangis."" 528"
1298;Musnad Syafi'i 1298;"Wahai Rasulullah, aku tidak punya kesempatan untuk mengunjungi istriku sejak memberi pupuk kurma."" Nabi SAW bersabda, ""Cara pemupukannya tentu saja bila baru dicangkok, maka diberi pupuk selama 40 hari tanpa disirami sesudah pemupukannya."" Lelaki itu berkata, ""Aku jumpai istriku sedang bersama lelaki lain —lelaki itu berkulit kuning dengan kedua betis yang kecil dan rambut lurus— sedangkan lelaki yang kami tuduh itu agak kehitam-hitaman dengan rambut lebat dan sangat keriting."" Maka Rasulullah  bersabda, ""Ya Allah, jelaskanlah."" Kemudian beliau melaksanakan li'an di antara keduanya, dan ternyata si wanita melahirkan bayi laki-laki yang mirip dengan lelaki tertuduh. 532"
1367;Musnad Syafi'i 1367;"Lelaki itu menjawab, ""Tidak."" Lalu lelaki itu berbisik kepada seseorang yang ada di sampingnya, maka Rasulullah  bertanya, ""Apakah yang engkau bisikkan kepadanya?"" Ia menjawab, ""Aku menyuruhnya agar menjual khamer ini."" Rasulullah  bersabda, ""Sesungguhnya sesuatu yang haram diminum diharamkan pula menjualbelikannya."" Lalu Rasulullah  membuka kedua guci itu hingga semua isinya kering. 601"
1400;Musnad Syafi'i 1400;"Aku (perawi) menduganya mengatakan yang muslim. Perawi berkata, ""Aku telah mendengarnya dari Ibnu Khats'am."" 634"
1424;Musnad Syafi'i 1424;"Dan jika kalian menceraikan mereka sebelum kalian menggaulinya, sedangkan kalian telah menetapkan suatu maskawin untuk mereka, maka bayarlah separuh dari maskawin yang telah kalian tetapkan."" (Qs. Al Baqarah [2]: 237) 658"
1428;Musnad Syafi'i 1428;"Hingga akhir iddahnya (maksudnya 4 bulan 10 hari)."" Sedangkan Abu Hurairah menjawab, ""Apabila dia melahirkan, berarti telah halal untuk kawin lagi."" Maka, masuklah Abu Salamah menemui Ummu Salamah, istri Nabi , lalu menanyakan masalah tersebut kepadanya. Ummu Salamah berkata, ""Subai'ah Al Aslamiyah melahirkan anaknya selang setengah bulan sesudah kematian suaminya, lalu ia dilamar oleh 2 orang lelaki; yang seorang pemuda, sedangkan yang lainnya kakek-kakek. Ternyata Subai'ah menerima lamaran si pemuda, maka si kakek itu berkata, ""Dia masih belum halal untuk kawin."" Keluarga Subai'ah sedang tidak ada di tempat, dan si kakek berharap apabila keluarga Subai'ah tiba akan memilihnya untuk menjadi suami Subai'ah. Maka, Subai'ah datang kepada Rasulullah , dan beliau bersabda, ""Engkau telah halal, maka kawinlah dengan orang yang kamu sukai.""662"
1429;Musnad Syafi'i 1429;"Hingga akhir masa iddahnya."" Sedangkan Abu Salamah berkata, ""Apabila dia telah melahirkan, berarti telah halal."" Maka datanglah Abu Hurairah, lalu berkata, ""Aku sependapat dengan keponakanku."" Yakni, Abu Salamah. Lalu mereka menyuruh Kuraib maula Ibnu Abbas menemui Ummu Salamah untuk menanyakan masalah tersebut Ketika Kuraib kembali kepada mereka, ia langsung memberitahukan bahwa Ummu Salamah berkata, ""Subai'ah Al Aslamiyah pernah melahirkan anak sesudah kematian suaminya selang beberapa malang lalu ia menceritakan hal itu kepada Rasulullah , maka beliau  bersabda kepadanya, 'Kamu telah halal, maka kawinlah' 663"
1454;Musnad Syafi'i 1454;"Berilah mereka makan dari makanan yang kalian makan, dan berilah mereka pakaian dari pakaian yang kalian kenakan."" 686"
1480;Musnad Syafi'i 1480;"Meeka (kaum wanita dan anak-anak) termasuk dari kaum laki-lakinya."" Adakalanya Sufyan mengetengahkan hadis ini dengan kalimat, ""Mereka adalah bagian dari ayah-ayahnya.""710"
1494;Musnad Syafi'i 1494;"Sesungguhnya orang-orang akan mengatakan bahwa Ibnu Abbas berkirim surat kepada orang Haruriyah (Khawarij). Seandainya saja aku tidak takut dianggap sebagai orang yang menyembunyikan ilmu, niscaya aku tidak akan berkirim surat kepadanya."" Najdah berkirim surat kepadanya yang bunyinya ialah, ""Amma ba'du, kabarkanlah kepadaku, apakah dahulu Rasulullah  pernah berperang dengan melibatkan kaum wanita? Dan, apakah Rasulullah  memberikan bagian ghanimah kepada mereka? Apakah anak-anak dibunuh? Bilakah status yatim seorang anak akan habis? Dan, khumus itu untuk siapa?"" Maka Ibnu Abbas menjawab suratnya, ""Kamu menulis surat kepadaku menanyakan apakah Rasulullah  dahulu berperang dengan melibatkan kaum wanita? Memang beliau pernah berperang dengan membawa kaum wanita, mereka ditugaskan mengobati orang-orang yang sakit (terluka), dan mereka mendapat imbalan dari hasil ghanimah. Tetapi mengenai bagian tertentu dari ghanimah, maka beliau tidak memberikannya kepada mereka. Beliau pun belum pernah membunuh anak-anak (dalam perangnya). Maka, janganlah kamu membunuh mereka kecuali jika kamu mempunyai pengetahuan seperti apa yang dimiliki oleh Khidhir terhadap anak yang dibunuhnya, hingga kamu dapat membedakan mana anak yang mukmin dan mana anak yang kafir, lalu kamu dapat membunuh anak yang kafir dan membiarkan anak yang mukmin. Kamu menanyakan kepadaku, bilakah masa yatim itu habis? Demi umurku bahwa seorang lelaki itu benar-benar akan berubah jenggotnya, tetapi dia benar-benar masih lemah dalam hal menerima dan memberi. Apabila dia telah dapat mengambil yang baik untuk dirinya sebagaimana yang dilakukan oleh orang-orang, berarti habislah status yatimnya. Engkau menulis surat kepadaku menanyakan tentang harta khumus. Aku katakan, sesungguhnya harta khumus itu buat kami (ahlul bait). Tetapi kaum kami menolak hal tersebut, maka kami tetap bersabar terhadapnya."" 724"
1500;Musnad Syafi'i 1500;Seandainya aku, niscaya aku tidak akan membakar mereka. Tetapi aku benar-benar akan membunuh mereka, karena Rasulullah  bersabda, 'Barangsiapa yang berganti agama, maka bunuhlah dia oleh kalian'. Aku tidak akan membakar mereka karena sabda Rasulullah , 'Tidak layak bagi seseorang melakukan hukuman dengan hukuman Allah'730
1555;Musnad Syafi'i 1555;"Hukuman rajam di dalam Kitabullah adalah hak atas orang yang berbuat zina dari kalangan kaum laki-laki dan wanita bila muhshan, yaitu: Jika ada bukti terhadapnya, atau ada kandungan atau pengakuan."""
1583;Musnad Syafi'i 1583;"Apakah bagian depan mulut disamakan dengan bagian dalamnya?"" Ibnu Abbas  menjawab, ""Seandainya kamu mempertimbangkan hal tersebut hanya dengan masalah jari-jari tangan."" Yakni, diyatnya sama saja. 811 Asy-Syafi'i berkata, ""Atsar ini termasuk salah satu dalil yang menunjukkan kepadamu bahwa kedua bibir diyatnya sama saja."" Dalam atsar lain disebutkan pula masalah diyat kedua bibir, berbeda dengan atsar ini."
1596;Musnad Syafi'i 1596;"Lenyapkanlah air mani itu darimu."" Salah satunya —antara Amr dan Ibnu Juraij— berkata, ""Dengan kayu atau idzkir. Sesungguhnya air mani itu sama dengan air ludah dan dahak."" 824"
1611;Musnad Syafi'i 1611;"Sesungguhnya aku hanya shalat seperti apa yang pernah kulihat Rasulullah   melakukannya."" Ia berkata pula, ""Sesungguhnya matahari dan bulan, keduanya merupakan sebagian dari tanda-tanda kekuasaan Allah. Keduanya tidak mengalami gerhana karena matinya seseorang dan tidak pula karena hidupnya. Maka apabila kalian melihat sesuatu darinya mengalami gerhana, hendaklah kalian segera berdzikir kepada Allah Ta'ala."" 839"
1637;Musnad Syafi'i 1637;"Ketika kami sedang bersama Nabi , tiba-tiba ada seorang lelaki jatuh terjungkal dari untanya hingga lehernya patah dan meninggal dunia. Maka Nabi  bersabda, 'Mandikanlah dia dengan air dicampur daun sidr, dan kafanilah dia dengan dua lapis pakaiannya, tetapi jangan kalian menutup kepalanya'. "" 864 Sufyan mengatakan bahwa Ibrahim bin Abu Harrah menambahkan dari Sa'id bin Jubair, dari Ibnu Abbas, bahwa Nabi  bersabda, ""Dan tutuplah wajahnya, tetapi jangan kalian menutup kepalanya, serta jangan pula kalian memberinya wewangian, karena sesungguhnya kelak di hari Kiamat ia akan dibangkitkan dalam keadaan bertalbiyah (berihram)."""
1642;Musnad Syafi'i 1642;"Suatu tuntunan dan perkara yang hak."" 869"
1643;Musnad Syafi'i 1643;"Aku sengaja melakukannya agar kalian mengetahui bahwa Fatihatul Kitab adalah Sunnah (tuntunan ajaran Nabi )."" 870"
1674;Musnad Syafi'i 1674;"Labbaika sebagai ganti dari Syubrumah."" Ibnu Abbas berkata, ""Celakalah kamu, siapakah Syubrumah?"" Salah seorang dari kedua perawi itu menyebutkan bahwa lelaki tersebut menjawab, ""Dia adalah saudaraku."" Sedangkan perawi lain menyebutkan bahwa lelaki itu menyebutnya sebagai kerabatnya. Ibnu Abbas bertanya, ""Apakah engkau telah melakukan haji untuk dirimu sendiri?"" Lelaki tersebut menjawab, ""Belum."" Ibnu Abbas berkata, ""Jadikanlah hajimu yang sekarang untukmu, kemudian berhajilah lagi (di tahun berikutnya) untuk Syubrumah."" 901"
1676;Musnad Syafi'i 1676;"Termasuk pakaian kalian yang terbaik ialah yang berwarna putih Maka, pakailah ia oleh orang-orang hidup dari kalian, dan dengannya orang-orang mati kalian.""903"
1678;Musnad Syafi'i 1678;"Allah sama sekali tidak mempedulikan kotoran kita sedikitpun.""905"
1692;Musnad Syafi'i 1692;"Sekarang istilah terkepung sudah tidak ada lagi."" 919"
1697;Musnad Syafi'i 1697;"Mulailah dari sebelah kanan."" 924"
1704;Musnad Syafi'i 1704;Jangan sekali-kali seseorang dari jamaah haji pulang sebelum akhir masanya adalah di Baitullah.'931
1709;Musnad Syafi'i 1709;"Aku termasuk orang-orang yang datang mendahului Rasulullah  dari kalangan orang-orang lemah keluarganya, dari Muzdalifah ke Mina."" 936"
1721;Musnad Syafi'i 1721;"Hendaklah ia bersedekah dengan segenggam makanan."" Ibnu Abbas berkata pula, ""Dan hendaklah ia benar-benar mengambil segenggam (makanan) sebagai denda beberapa belalang (yang dibunuh). Tetapi memang demikianlah dendanya menurut pendapatku."" 948"
1722;Musnad Syafi'i 1722;"Aku melakukan ihram, sedangkan rambutku seperti ini."" Ibnu Abbas menjawab, ""Ikatlah sebagian darinya yang berada di bawah kedua telinga."" Lelaki itu berkata, ""Aku telah mencium wanita yang bukan istriku."" Ibnu Abbas menjawab, ""Mulutmu telah berzina."" Lelaki itu bertanya lagi, ""Aku melihat ketombe, lalu aku membuangnya."" Ibnu Abbas menjawab, ""Itu adalah barang hilang yang tidak usah dicari."" 949"
1741;Musnad Syafi'i 1741;"Jika mereka menaatimu, beritahukanlah kepada mereka bahwa diwajibkan atas mereka bersedekah yang diambil dari para hartawan dan diberikan kepada orang-orang miskin di antara mereka.""968"
1752;Musnad Syafi'i 1752;"Tidak ada tanah terlarang kecuali hanya bagi Allah dan Rasul-Nya.""979"
1762;Musnad Syafi'i 1762;"Bagaimana keputusanmu tentang umrah sebelum haji, sedangkan Allah  telah berfirman, 'Dan sempurnakanlah ibadah haji dan umrah karena Allah'."" (Qs. Al Baqarah [2]: 196). Ibnu Abbas balik bertanya, ""Bagaimanakah kalian membaca, 'Sesungguhnya utang itu sebelum wasiat, ataukah wasiat itu sebelum utang?'"" Mereka menjawab, ""Wasiat sebelum utang."" Ibnu Abbas bertanya, ""Manakah di antara keduanya yang kalian dahulukan?"" Mereka menjawab, ""Utang."" Ibnu Abbas berkata, ""Hal itu pun sama saja."" 988 Asy-Syafi'i berkata, ""Bahwa Mendahulukan adalah boleh."""
