ID;Kitab;Matan
798;Musnad Syafi'i 798;"Aku benar-benar akan memutuskan di antara kamu berdua dengan Kitab [Allah]."" Maka beliau mendera anak lelaki itu sebanyak 100 kali dan mengasingkannya selama setahun. [Lalu beliau memerintahkan kepada] Anis untuk pergi menemui istri lelaki yang lain. Jika ia mengaku, maka rajamlah ia. Lalu ia mengaku, maka beliau merajamnya. 46"
809;Musnad Syafi'i 809;"Adakah seorang lelaki shalih (baik hati) yang menjaga kita malam ini dan tidak tidur agar tidak ketinggalan shalat?"" Maka Bilal berkata, ""Aku, wahai Rasulullah!"" Maka Bilal menyandarkan punggungnya pada unta kendaraannya sebelum fajar, dan ternyata mereka tidak terbangun melainkan setelah merasakan panas matahari menerpa wajah mereka. Maka Rasulullah  bersabda, ""Hai Bilal, mana —janji— yang kamu katakan?"" Bilal menjawab, ""Wahai Rasulullah, aku mengalami hal yang sama seperti yang engkau alami."" Maka Rasulullah  berwudhu, kemudian shalat 2 rakaat sunah subuh, setelah itu beliau bersabda, ""Tuntunlah sedikit kendaraan kalian,"" Kemudian beliau melaksanakan shalat Subuh."
810;Musnad Syafi'i 810;"Hai Bani Abdu Manaf. Barangsiapa di antara kalian menguasai sesuatu dari urusan manusia, maka jangan sekali-kali ia melarang seseorang thawaf di Baitullah ini dan shalat di waktu kapanpun yang disukainya, di malam ataupun siang hari.""58"
812;Musnad Syafi'i 812;"Hai Katsir bin Shult, pergilah ke rumah Aisyah Ummul Mukminin  dan tanyakanlah kepadanya tentang shalat Nabi  2 rakaat sesudah Ashar!"" Abu Salamah mengatakan: Maka aku berangkat bersamanya, dan Ibnu Abbas  mengirimkan Abdullah bin Harits bin Naufal bersama kami seraya berpesan, ""Pergilah dan dengarkanlah apa yang akan dikatakan oleh Ummul Mukminin."" Abu Salamah melanjutkan kisahnya: Maka Katsir datang kepadanya dan menanyakan hal itu kepadanya. Aisyah menjawabnya, ""Aku tidak mempunyai pengetahuan tentang itu, tetapi pergilah kepada Ummu Salamah dan tanyakan kepadanya."" Abu Salamah melanjutkan kisahnya: Maka aku pergi bersamanya kepada Ummu Salamah, lalu Ummu Salamah berkata, ""Pada suatu hari Rasulullah  masuk ke dalam rumahku, lalu shalat 2 rakaat di dalam rumahku, yaitu shalat yang belum pernah aku lihat beliau melakukan hal itu —di waktu tersebut—. Maka aku bertanya, 'Wahai Rasulullah, sesungguhnya engkau mengerjakan suatu shalat yang belum pernah aku melihatmu mengerjakannya'. Maka beliau bersabda, 'Sesungguhnya aku biasa mengerjakan shalat 2 rakaat sesudah zhuhur, dan sesungguhnya telah datang kepadaku delegasi Bani Tamim atau harta zakat, maka aku sibuk hingga meninggalkan 2 rakaat tersebut, kedua rakaat itu adalah yang baru aku kerjakan'."" 60"
813;Musnad Syafi'i 813;"Hai Qais! Shalat apakah 2 rakaatmu itu?"" Aku menjawab, ""Sesungguhnya aku belum mengerjakan 2 rakaat sunah Subuh (yakni qabliyah-nya)."" Maka, Rasulullah  diam."
822;Musnad Syafi'i 822;"Hai musuh Allah! Engkau berani mendiskreditkan Abu Bakar, Umar dan Amirul Mukminin -yakni Ali -. Sesungguhnya mereka telah memungut jizyah dari orang-orang Majusi."" Lalu Al Mustaurid membawanya ke istana, dan Ali  keluar menemui mereka, lalu berkata, ""Tenanglah kamu berdua."" Lalu keduanya duduk di bawah naungan istana, dan Ali  berkata, ""Aku adalah orang yang paling mengetahui tentang agama Majusi, dahulu mereka mempunyai ilmu yang mereka kuasai dan kitab yang mereka baca. Sesungguhnya jika raja mereka mabuk, lalu ia menyetubuhi anak perempuan atau saudara perempuannya. Ternyata perbuatannya itu diketahui oleh sebagian pembantu kerajaannya. Kemudian pada keesokan harinya mereka (rakyatnya) datang untuk menegakkan hukuman had atas raja mereka, tetapi si raja menolak usul mereka dan memanggil semua pembantu kerajaan, lalu ia berkata, 'Apakah kalian mengetahui ada agama lain yang lebih baik daripada agama Adam? Sesungguhnya dahulu Adam mengawinkan anak-anak lelakinya dengan anak-anak perempuannya, dan aku adalah orang yang memeluk agama Adam, apakah gerangan yang menyebabkan kalian tidak suka terhadap agamanya?' Akhirnya mereka membaiatnya, tetapi ada pula yang menentangnya. Lalu raja dan para pembantunya memerangi semua orang yang menentangnya hingga mereka membunuh semua penentangnya. Mereka berperang kepada kitab mereka, tetapi kitab tersebut akhirnya lenyap dari mereka, dan ilmu yang ada di dada mereka pun lenyap pula. Dengan demikian, mereka termasuk ahli kitab juga; dan Rasulullah  sendiri telah memungut jizyah dari mereka, begitu pula Abu Bakar dan Umar .""70"
825;Musnad Syafi'i 825;"Janganlah kalian mencegah hamba-hamba wanita Allah untuk mendatangi masjid-masjid-Nya."" 73"
827;Musnad Syafi'i 827;"Jangan sekali-kali seorang lelaki khalwat (berduaan) dengan seorang wanita, dan tidak halal bagi seorang wanita mengadakan perjalanan melainkan ditemani oleh mahramnya."" Lalu ada seorang lelaki berdiri dan bertanya, ""Wahai Rasulullah! Sesungguhnya aku telah mendaftarkan diriku dalam perang anu dan perang anu, sedangkan istriku hendak berangkat haji."" Maka Nabi  menjawab, ""Berangkatlah dan berhajilah bersama istrimu."" 75"
830;Musnad Syafi'i 830;"Mandi hari Jumat wajib atas setiap orang yang baligh."" 78"
836;Musnad Syafi'i 836;"Janganlah kalian saling tanajusy (lihat an- najsy) dalam jual-beli."" 84"
840;Musnad Syafi'i 840;"Janganlah sebagian kalian melakukan transaksi jual-beli di atas transaksi jual-beli sebagian yang lain."" 88"
841;Musnad Syafi'i 841;"Janganlah seorang lelaki melakukan transaksi jual-beli di atas transaksi jual-beli saudaranya.""89"
844;Musnad Syafi'i 844;"Janganlah orang kota menjual kepada orang pedalaman, biarkanlah manusia bebas, Allah memberi rezeki sebagian mereka dari sebagian yang lain.""92"
846;Musnad Syafi'i 846;"Sesungguhnya aku menghadiahkan kepada anak lelakiku ini seorang budak yang dahulu adalah milikku."" Maka Nabi bertanya, ""Apakah semua anakmu engkau berikan hadiah yang sama dengannya?"" Ayahnya menjawab, ""Tidak."" Maka Rasulullah  bersabda, ""Cabutlah pemberianmu itu""94 Abdul Abbas berkata, ""Yang demikian ini menurut teman- teman kami semua, Malik. Karena itu, aku buat dengan lafazh syak (atau)."""
851;Musnad Syafi'i 851;"Apabila jatuh tanggal 10 (bulan Dzulhijjah) dan seseorang dari kalian hendak berkurban, maka jangan sekali-kali menyentuh (mengambil) rambutnya, jangan pula kulit (kukujnya sedikit pun.."" 99"
853;Musnad Syafi'i 853;"Sempurnakanlah wudhu, hai Abdurrahman, karena sesungguhnya aku pernah mendengar Rasulullah  bersabda, 'Celakalah bagi tumit-tumit karena dibakar api neraka'."" 101"
854;Musnad Syafi'i 854;"Lakukanlah shalat Subuh ketika cuaca agak terang. Sesungguhnya hal itu lebih besar bagi pahala kalian."" Atau beliau bersabda, ""Lebih besar pahalanya.""102"
857;Musnad Syafi'i 857;"Wa'il berkata, ""Kemudian aku mendatangi mereka di musim dingin, aku melihat mereka mengangkat tangan mereka dengan memakai baranis."""
858;Musnad Syafi'i 858;"Sufyan berkata, ""Kemudian aku datang ke Kufah dan menjumpai Yazid, maka aku mendengarnya menceritakan hadis seperti ini, tetapi ia menambahkan di dalamnya, 'Kemudian Nabi  tidak melakukannya lagi'. Maka, aku menduga bahwa mereka mengutarakan hadis ini kepadanya secara talqin."" Sufyan kembali berkata, ""Demikianlah aku mendengar Yazid mengutarakan hadis ini. Sesudah itu aku mendengarnya lagi mengutarakan hadis ini, tetapi di dalamnya ia menambahkan, 'Kemudian Nabi  tidak melakukannya lagi'."" (Imam Syafi'i)  berkata, ""Sufyan menganggap Yazid dalam hadis ini pikun dan menyatakan seakan-akan Yazid menerima kalimat terakhir ini lalu men-to/gin-kannya. Demikian juga Sufyan tidak menganggap Yazid hafal."" 106"
859;Musnad Syafi'i 859;"Orang ini menceritakan kepadaku bahwa Nabi  melihat seorang lelaki shalat sendirian di belakang shaf, maka beliau memerintahkannya untuk mengulangi shalat."" 107"
867;Musnad Syafi'i 867;"Matahari mengalami gerhana karena meninggalnya Ibrahim."" Nabi  bersabda, ""Sesungguhnya matahari dan bulan adalah 2 tanda di antara tanda-tanda kekuasaan Allah, keduanya tidak mengalami gerhana karena matinya seseorang; tidak pula karena hidupnya. Apabila kalian melihat hal tersebut, maka bersegeralah mengingat Allah  dan shalat.""115"
874;Musnad Syafi'i 874;"Lalu aku berkata kepada Ibnu Syihab, 'Apakah kamu menjadikan Yazid bin Al Asham sederajat dengan Ibnu Abbas?'"" 122"
875;Musnad Syafi'i 875;"Orang yang berihram tidak boleh menikah, tidak boleh pula melamar."" 123"
879;Musnad Syafi'i 879;"Usamah bin Zaid menceritakan kepadaku bahwa Nabi  pernah bersabda, “Sesungguhnya riba itu berada pada riba nasiah'.""127"
894;Musnad Syafi'i 894;"Sesungguhnya Allah Jalla Tsana'uhu membuat hukum baru menurut apa yang dikehendaki-Nya, dan sesungguhnya di antara hukum baru yang ditetapkan oleh Allah ialah janganlah kalian berbicara dalam shalat.""142"
899;Musnad Syafi'i 899;"Ya Allah selamatkanlah Al Walid bin Walid, Salamah bin Hisyam, Ayyasy bin Abu Rabi'ah, dan kaum mustadh'afin (kaum muslimin yang lemah) di Makkah. Ya Allah, keraskanlah tekanan-Mu terhadap Mudhar, dan jadikanlah tekanan-Mu terhadap mereka berupa paceklik seperti pacekliknya Nabi Yusuf"" 147"
900;Musnad Syafi'i 900;"Salim mengatakan bahwa Aisyah  berkata, ""Aku pernah memakaikan wewangian kepada Rasulullah  untuk ihramnya sebelum berihram dan untuk tahallulnya sesudah melempar jumrah 'aqabah, dan sebelum ziarah Baitullah."" Salim berkata, ""Sunnah Rasulullah  lebih berhak untuk diikuti."" 148"
911;Musnad Syafi'i 911;"Janganlah kalian berpuasa sebelum melihat hilal, jangan pula kalian berbuka (berhenti puasa) sebelum melihat hilal. ""159"
914;Musnad Syafi'i 914;"Anak adalah bagi firasy (suami), sedangkan bagi pezina batu."".162"
923;Musnad Syafi'i 923;"Ia boleh mengembalikannya berikut satu sha' tamar, bukan gandum"". 171"
926;Musnad Syafi'i 926;"Aku memandang segala sesuatu tidak lain kecuali seperti itu."""
927;Musnad Syafi'i 927;"Siapa yang mempraktekkan salaf dalam jual beli buah-buahan hendaklah dilakukannya dengan takaran yang diketahui dan timbangan yang diketahui, serta waktu yang di ketahui atau sampai waktu yang di ketahui."""
930;Musnad Syafi'i 930;"Apakah di sisi kalian terdapat sesuatu dari Nabi selain dari Al Quran?"" Ali menjawab, ""Demi Tuhan yang menumbuhkan benih dan yang telah menciptakan manusia, tidak ada pemahaman yang diberikan oleh Allah kepada hamba-Nya selain dari apa yang ada di dalam Al Qur'an dan apa yang terdapat di dalam shahifah."" Aku bertanya, ""Apakah yang terdapat di dalam shahifah itu?"" Ali menjawab, ""Diyat, membebaskan tawanan, dan orang mukmin tidak boleh dihukum mati karena membunuh orang kafir."" 178"
931;Musnad Syafi'i 931;"Berikanlah hasilnya untuk makan budakmu dan makanan unta penyirammu.""179"
942;Musnad Syafi'i 942;"Sesungguhnya aku menjadi istri Rifa'ah, kemudian ia menceraikanku hingga thalakku habis, sesudah itu aku kawin dengan Abdurrahman bin Zubair. Dan sesungguhnya apa yang dia miliki hanyalah seperti ujung baju."" Maka Rasulullah  tersenyum, lalu bersabda, ""'Apakah kamu hendak kembali kepada Rifa'ah? Tidak boleh sebelum kamu merasakan madunya dan ia pun merasakan madumu."" Ketika itu Abu Bakar berada di samping Nabi , sedangkan Khalid bin Sa'id bin Ash berada di pintu menunggu untuk diberi izin masuk, lalu ia berseru, ""Hai Abu Bakar! Apakah engkau mendengar apa yang dikatakan wanita ini di sisi Rasulullah ?""190"
947;Musnad Syafi'i 947;"Siapapun yang budaknya menjadi milik dua orang, lalu salah seorang di antaranya memerdekakan bagiannya; jika ia kaya, hendaklah ia menaksir budaknya dengan harga yang tinggi atau dengan harga yang pertengahan, tidak terlalu murah dan tidak terlalu mahal, kemudian hendaklah ia menutupi bagian temannya —agar budak yang bersangkutan merdeka sepenuhnya—""195"
954;Musnad Syafi'i 954;"Seandainya aku mengetahui perkaraku yang akan terjadi sekarang, niscaya aku tidak akan membawa hadyu. Akan tetapi, ternyata aku tetap membiarkan rambut kepalaku dan menggiring hadyuku. Tidak ada jalan lain bagiku kecuali aku harus menyembelih hadyu."" Lalu berdirilah Suraqah bin Malik dan bertanya, ""Wahai Rasulullah! Berilah kami keputusan sebagaimana keputusan untuk suatu kaum yang seakan-akan mereka baru dilahirkan hari ini. Apakah umrah kita ini hanya untuk tahun sekarang saja atau untuk selama-lamanya?"" Nabi  menjawab, 'Tidak, bahkan untuk selama-lamanya Ibadah umrah masuk ke dalam ibadah haji sampai hari Kiamat. Thawus berkata lagi: — Sesudah itu— datanglah Ali dari negeri Yaman, maka Nabi SAW bertanya kepadanya, yang maksudnya, ""Ihram apakah yang kamu lakukan?"" Salah seorang dari keduanya (Ibnu Thawus dan Ibrahim bin Maisarah) mengatakan: Aku katakan, ""Labbaika dengan niat ikhram seperti yang dilakukan Nabi SAW."" Sedangkan yang lainnya mengatakan, “Labbaika dengan ibadah haji seperti haji yang dilakukan oleh Nabi SAW."""
964;Musnad Syafi'i 964;"Barangsiapa membunuh seorang mukmin, maka dikenakan hukum qishash dengan tangan yang terikat, kecuali wali dari si terbunuh merelakannya. Barangsiapa menghambat terlaksananya qishash ini, maka laknat Allah dan murka-Nya menimpa dirinya, amal wajib dan amal sunahnya tidak diterima darinya.""212"
976;Musnad Syafi'i 976;"Seandainya seseorang mengintip kamu tanpa izin, lalu kamu mengetapel matanya dengan batu kerikil hingga matanya buta, maka tidak ada dosa atas dirimu.""224"
977;Musnad Syafi'i 977;"Seandainya aku mengetahui bahwa kamu mengintip, niscaya aku tusuk matamu. Sesungguhnya dijadikannya meminta izin itu hanya untuk pandangan.""225"
983;Musnad Syafi'i 983;"Sesungguhnya aku mempunyai harta dan anak-anak, dan sesungguhnya ayahku mempunyai harta dan anak-anak pula, tetapi ia bermaksud untuk mengambil hartaku guna memberi makan anak- anaknya."" Maka Nabi  bersabda, ""Kamu dan hartamu adalah milik ayahmu.""231"
988;Musnad Syafi'i 988;"Diyat itu untuk keluarga (si terbunuh), sedangkan istri tidak berhak mewarisi diyat suaminya (yang terbunuh) barang sedikit pun."" Hingga Adh-Dhahhak bin Sufyan menceritakan kepadanya bahwa Nabi  pernah berkirim surat kepadanya yang isinya menyatakan, ""Berikanlah kepada istri Asyaima Adh-Dhabbabi warisan dari diyatnya."" Kemudian Amr mendatanginya. 236"
991;Musnad Syafi'i 991;"Kembangkanlah harta anak-anak yatim agar tidak habis dimakan oleh zakat.""239"
1008;Musnad Syafi'i 1008;"Apabila kalian melihat sebuah masjid atau mendengar suara adzan, janganlah kalian membunuh seorang pun.""256"
1009;Musnad Syafi'i 1009;"Abu Bakar  menjawab, ""Hal ini (yakni zakat) merupakan bagian dari perkara yang hak. Seandainya mereka tidak memberikan kepadaku seekor unta pun yang dahulu mereka berikan kepada Rasulullah , niscaya aku benar-benar akan memerangi mereka karenanya."" 257"
1061;Musnad Syafi'i 1061;"Kalian adalah penduduk bumi yang paling baik"" Jabir berkata, ""Seandainya aku dapat melihat (saat itu ia buta matanya), aku benar-benar akan memperlihatkan kepada kalian tempat pohon (ridhwan) itu.""309"
1165;Musnad Syafi'i 1165;"Sesungguhnya aku menjadi istri Rifa'ah, kemudian ia menceraikanku hingga thalakku habis, sesudah itu aku kawin dengan Abdurrahman bin Zubair. Dan sesungguhnya apa yang dia miliki hanya seperti ujung baju."" Maka Rasulullah bersabda, ""Apakah kamu hendak kembali kepada Rifa'ah? Tidak boleh sebelum kamu merasakan madunya dan ia pun merasakan madumu.”402"
1200;Musnad Syafi'i 1200;"Siapakah kamu (maka) dapat menyebutkan (waktunya)?"" (Qs. An-Naazi'aat [79]: 43) lalu beliau berhenti —bertanya—.436"
1201;Musnad Syafi'i 1201;"Aku pernah memisahkan 2 orang budak perempuanku -yakni kedua istrinya- lalu salah seorang memukul yang lain dengan kayu tenda hingga janinnya keguguran. Maka Rasulullah  memutuskan hukuman denda."" Umar  berkata, ""Seandainya kami tidak mendengar hadis ini, niscaya kami akan memutuskan perkara ini dengan hukum yang selain ini."" 437"
